item_id,vertical,category,domain,score
590602034,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9998
634352041,CE,MOBILE,MLC-CELLPHONES,0.9994
587879197,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9984
641416750,CE,MOBILE,MLC-CELLPHONES,0.9986
619600539,CE,COMPUTERS,MLC-NOTEBOOKS,0.9982
615879553,CE,MOBILE,MLC-CELLPHONES,0.998
620358521,CE,COMPUTERS,MLC-NOTEBOOKS,0.9978
523534468,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9976
622127095,CE,MOBILE,MLC-CELLPHONES,0.9974
582188629,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_CURTAINS_AND_BLINDS,0.9822
538407191,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_LIGHTING_SUPPLIES,0.9804
491549031,HOME & INDUSTRY,HOME&DECOR,MLC-BED_SHEETS,0.9782
914570948,CE,COMPUTERS,MLC-NOTEBOOKS,0.997
541283090,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9968
627968639,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9966
611219774,CE,COMPUTERS,MLC-NOTEBOOKS,0.9964
908498834,CE,MOBILE,MLC-CELLPHONES,0.9962
610865341,HOME & INDUSTRY,INDUSTRY,MLC-POINTS_OF_SALE_KITS,0.996
921680073,CE,MOBILE,MLC-CELLPHONES,0.9958
640439607,CE,MOBILE,MLC-TABLETS,0.9952
908549725,CE,MOBILE,MLC-CELLPHONES,0.995
631987792,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9944
514547899,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9942
631654988,CE,MOBILE,MLC-CELLPHONES,0.994
534895538,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9934
627912324,CE,MOBILE,MLC-CELLPHONES,0.9932
910750487,CE,COMPUTERS,MLC-NOTEBOOKS,0.9926
639996794,CE,MOBILE,MLC-CELLPHONES,0.9924
641958478,CE,ELECTRONICS,MLC-TELEVISIONS,0.9922
611219784,CE,MOBILE,MLC-CELLPHONE_USB_AND_AUXILIARY_ADAPTERS,0.992
530533595,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9918
605373047,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9916
640437078,CE,MOBILE,MLC-CELLPHONES,0.9914
609483474,CE,ELECTRONICS,MLC-TELEVISIONS,0.991
635938366,CE,COMPUTERS,MLC-NOTEBOOKS,0.9908
479170694,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.9906
547284733,HOME & INDUSTRY,STATIONARY,MLC-SCREEN_PRINTERS,0.9904
584717047,CE,MOBILE,MLC-CELLPHONES,0.9902
611219823,CE,MOBILE,MLC-SMARTWATCHES,0.99
640387423,CE,ELECTRONICS,MLC-TELEVISIONS,0.9898
635055905,CE,ELECTRONICS,MLC-DRONES,0.9894
639382873,CE,MOBILE,MLC-SMARTWATCHES,0.989
916146567,CE,MOBILE,MLC-CELLPHONES,0.9888
611844936,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9884
514875680,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9882
612415807,CE,MOBILE,MLC-SMARTWATCHES,0.988
602421547,CE,MOBILE,MLC-CELLPHONES,0.9878
906344908,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9876
929246887,CE,MOBILE,MLC-CELLPHONES,0.9874
514542877,APP & SPORTS,SPORTS,MLC-TENTS,0.9872
612783482,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.987
611219785,CE,COMPUTERS,MLC-NOTEBOOKS,0.9868
550761266,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9866
616320566,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9864
620135204,CE,COMPUTERS,MLC-COMPUTER_MONITORS,0.3401999999999999
459001916,OTHERS,PET PRODUCTS,MLC-DOG_POTTY_PADS,0.9862
902574727,CE,ELECTRONICS,MLC-TELEVISIONS,0.986
615912854,CE,MOBILE,MLC-CELLPHONES,0.9858
575866100,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.9856
908510604,CE,MOBILE,MLC-CELLPHONES,0.9854
640726870,CE,MOBILE,MLC-TABLETS,0.985
920371951,CE,MOBILE,MLC-CELLPHONES,0.9848
479170682,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.9844
546757934,CE,COMPUTERS,MLC-HEADPHONES,0.9842
589892278,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.984
919672359,APP & SPORTS,SPORTS,MLC-TREADMILLS,0.9838
582470102,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9836
611219814,CE,MOBILE,MLC-CELLPHONES,0.9834
635047128,CE,COMPUTERS,MLC-NOTEBOOKS,0.9832
635055844,CE,ELECTRONICS,MLC-DRONES,0.983
640373962,CE,MOBILE,MLC-SMARTWATCHES,0.9828
920472849,CE,MOBILE,MLC-CELLPHONES,0.9826
918156842,APP & SPORTS,SPORTS,MLC-GYM_DUMBBELLS,0.9824
607992882,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.982
543082886,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9818
904106701,CE,MOBILE,MLC-CELLPHONES,0.9816
542058963,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9814
549471238,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9812
916683775,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.981
627929465,CE,ELECTRONICS,MLC-TELEVISIONS,0.9808
910788362,CE,MOBILE,MLC-CELLPHONES,0.9806
515418185,CE,COMPUTERS,MLC-PRINTERS,0.9802
602456894,CE,COMPUTERS,MLC-NOTEBOOKS,0.98
611219805,CE,MOBILE,MLC-CELLPHONES,0.9798
612924883,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.9796
514542582,APP & SPORTS,SPORTS,MLC-TENTS,0.9794
908510601,CE,MOBILE,MLC-CELLPHONES,0.9988
613172747,CE,ELECTRONICS,MLC-TELEVISIONS,0.9792
628758837,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.979
607191292,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9788
602521839,CE,MOBILE,MLC-CELLPHONES,0.9786
564308156,OTHERS,PET PRODUCTS,MLC-FLEA_AND_TICK_TREATMENTS,0.9784
908756233,CE,MOBILE,MLC-CELLPHONES,0.978
636931057,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9778
615860824,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9776
922358018,HOME & INDUSTRY,INDUSTRY,MLC-INDUSTRIAL_ICE_CREAM_MACHINES,0.9774
919807425,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9772
599640342,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.977
533695535,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9768
622127102,CE,MOBILE,MLC-CELLPHONES,0.9766
608861553,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.9764
609483463,CE,ELECTRONICS,MLC-TELEVISIONS,0.9762
596040313,HOME & INDUSTRY,HOME&DECOR,MLC-OUTDOOR_TABLES,0.976
519319654,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9758
552506983,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9756
539194164,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9754
458924811,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_MONITORING_KITS,0.9752
916392152,CE,MOBILE,MLC-CELLPHONES,0.975
533929983,ACC,AUTOPARTS,MLC-CAR_LIGHT_BULBS,0.9746
636459508,CE,MOBILE,MLC-CELLPHONES,0.9744
531445273,APP & SPORTS,SPORTS,MLC-TENTS,0.974
616458776,CE,ELECTRONICS,MLC-ROBOT_VACUUMS,0.9738
519757958,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9736
914573264,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9734
559582455,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_FILTERS,0.9732
639966502,CE,MOBILE,MLC-CELLPHONES,0.973
634837028,CE,ELECTRONICS,MLC-ROBOT_VACUUMS,0.9728
632389372,CE,COMPUTERS,MLC-ALL_IN_ONE,0.9726
606780080,CE,MOBILE,MLC-CELLPHONES,0.9724
454770222,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9722
627186454,CE,MOBILE,MLC-CELLPHONES,0.972
640439611,CE,MOBILE,MLC-TABLETS,0.9718
911688626,CE,MOBILE,MLC-CELLPHONES,0.9716
917141016,CE,MOBILE,MLC-TABLETS,0.9714
901196885,CE,ELECTRONICS,MLC-ROBOT_VACUUMS,0.9712
494041013,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-PERMANENT_EPILATORS,0.971
543464984,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9708
514111347,HOME & INDUSTRY,HOME&DECOR,MLC-CHRISTMAS_LIGHTS,0.9706
545397446,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9704
551021803,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9702
507778674,HOME & INDUSTRY,STATIONARY,MLC-SCREEN_PRINTERS,0.97
920411154,CE,MOBILE,MLC-CELLPHONES,0.9698
611219749,CE,COMPUTERS,MLC-STYLUSES,0.9696
603290119,CE,COMPUTERS,MLC-NOTEBOOKS,0.9694
905671078,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.969
625848587,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_BRUSH_CUTTERS_AND_STRING_TRIMMERS,0.9688
475819054,CE,ELECTRONICS,MLC-FREEZERS,0.9686
927172054,CE,MOBILE,MLC-CELLPHONES,0.2804
489192563,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9684
524331133,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9682
614654336,CE,COMPUTERS,MLC-PRINTERS,0.968
908746162,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9678
907883061,CE,ELECTRONICS,MLC-TELEVISIONS,0.9676
547836977,OTHERS,ANTIQUES & HOBBIES,MLC-RESINS,0.9674
590143460,CE,MOBILE,MLC-CELLPHONES,0.9672
911661881,CE,COMPUTERS,MLC-NOTEBOOKS,0.967
916106933,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CIRCULAR_SAWS,0.9668
509787261,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.9666
550760095,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9664
521460770,CE,ELECTRONICS,MLC-WALKIE_TALKIES,0.9662
905151752,CE,COMPUTERS,MLC-NOTEBOOKS,0.966
622419941,HOME & INDUSTRY,HOME&DECOR,MLC-MATTRESSES,0.9658
536933681,CE,COMPUTERS,MLC-NOTEBOOKS,0.9656
526565466,HOME & INDUSTRY,HOME&DECOR,MLC-CLOTHES_HANGERS,0.9654
911392963,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9652
576556848,HOME & INDUSTRY,HOME&DECOR,MLC-HOT_TUBS,0.965
922978980,CE,MOBILE,MLC-CELLPHONES,0.9648
435618168,APP & SPORTS,SPORTS,MLC-CAMPING_AND_FISHING_EQUIPMENT,0.9646
639383835,CE,MOBILE,MLC-SMARTWATCHES,0.9644
634352002,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BODYWEIGHT_SCALES,0.9642
577990561,CE,MOBILE,MLC-CELLPHONES,0.964
434003528,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.9638
610282062,CE,MOBILE,MLC-CELLPHONES,0.9636
488980309,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_AND_CONSTRUCTION_SUPPLIES,0.9634
613522400,CE,MOBILE,MLC-CELLPHONES,0.9632
622447360,CE,ELECTRONICS,MLC-TELEVISIONS,0.963
566515950,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.9628
925556749,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9626
614337442,CE,ELECTRONICS,MLC-SMART_SPEAKERS,0.9624
498972393,CE,ELECTRONICS,MLC-WATER_HEATERS,0.9622
616634369,CE,ELECTRONICS,MLC-TELEVISIONS,0.962
591313440,CE,COMPUTERS,MLC-INK_CARTRIDGES,0.9618
520642471,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9616
549493386,HOME & INDUSTRY,HOME&DECOR,MLC-EMERGENCY_LIGHTS,0.9614
434014257,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-HEALTH_CARE_SUPPLIES,0.9612
900686020,CE,MOBILE,MLC-CELLPHONES,0.961
609518908,CE,ELECTRONICS,MLC-DEEP_FRYERS,0.9608
574374644,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.9606
531870474,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9604
612033150,CE,ELECTRONICS,MLC-TELEVISIONS,0.9602
929871908,CE,MOBILE,MLC-CELLPHONES,0.96
487438914,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9596
625094794,CE,MOBILE,MLC-CELLPHONES,0.9594
917676690,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9592
575658106,CE,ELECTRONICS,MLC-TELEVISIONS,0.959
903576727,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.9588
606285134,CE,COMPUTERS,MLC-HEADPHONES,0.9586
473542905,CE,ELECTRONICS,MLC-RANGES,0.9584
636472414,BEAUTY & HEALTH,PHARMACEUTICS,MLC-KNEE_BRACES_SUPPORTS,0.9582
587881948,CE,ELECTRONICS,MLC-DRONES,0.958
612033149,CE,ELECTRONICS,MLC-TELEVISIONS,0.9578
908743282,CE,MOBILE,MLC-CELLPHONES,0.9576
642371547,APP & SPORTS,APPAREL,MLC-JACKETS_AND_COATS,0.9574
905750854,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_BATTERIES,0.9572
575666973,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.957
609167440,CE,COMPUTERS,MLC-HEADPHONES,0.9568
615911486,CE,MOBILE,MLC-CELLPHONES,0.9566
566351112,APP & SPORTS,SPORTS,MLC-TRAINING_MASKS,0.9564
901498919,HOME & INDUSTRY,HOME&DECOR,MLC-WALL_AND_CEILING_LIGHTS,0.9562
611219789,CE,MOBILE,MLC-CELLPHONES,0.956
925135899,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9558
924402434,CE,COMPUTERS,MLC-NOTEBOOKS,0.9556
618435770,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.9554
613483179,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9552
539775429,CPG,PERSONAL HYGIENE,MLC-DISPOSABLE_BABY_DIAPERS,0.955
616658548,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9548
637926695,CE,MOBILE,MLC-CELLPHONES,0.9546
570090905,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_HAND_PLANERS,0.9544
490259520,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_DECOR,0.9542
559352639,CE,ELECTRONICS,MLC-DRONES,0.954
612240721,CE,COMPUTERS,MLC-DESKTOP_COMPUTERS,0.9538
622118801,CE,MOBILE,MLC-CELLPHONES,0.9536
616429489,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CIRCULAR_SAWS,0.9532
522922294,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-MITER_SAWS,0.953
519983045,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9528
625116041,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9526
900681998,CE,MOBILE,MLC-CELLPHONES,0.9524
532597401,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-PLUNGE_ROUTERS,0.9522
475449608,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_FILTERS,0.952
911313420,CE,ELECTRONICS,MLC-VIDEO_CAMERAS,0.9518
550528458,CE,ELECTRONICS,MLC-WALKIE_TALKIES,0.9516
531221084,ACC,AUTOPARTS,MLC-VEHICLE_MULTIMEDIA_SYSTEMS,0.9514
622081441,APP & SPORTS,SPORTS,MLC-AEROBIC_CRUNCH_MACHINES,0.951
473566957,CE,ELECTRONICS,MLC-REFRIGERATORS,0.9508
496569335,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.9506
901448428,CE,COMPUTERS,MLC-PRINTERS,0.9504
611219848,CE,MOBILE,MLC-CELLPHONES,0.9502
640439560,CE,MOBILE,MLC-TABLETS,0.95
920372814,CE,MOBILE,MLC-CELLPHONES,0.9498
929083185,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9496
634406505,CE,COMPUTERS,MLC-PC_KEYBOARDS,0.9494
619046866,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9492
616602394,CE,MOBILE,MLC-CELLPHONES,0.949
579135187,CE,COMPUTERS,MLC-PRINTERS,0.9488
900681974,CE,MOBILE,MLC-CELLPHONES,0.9486
584169295,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9484
498974199,CE,ELECTRONICS,MLC-WATER_HEATERS,0.9482
906735451,CE,MOBILE,MLC-TABLETS,0.948
536048356,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.9478
639386169,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-PERMANENT_EPILATORS,0.9476
549180044,ACC,AUTOPARTS,MLC-CAR_SEAT_COVERS,0.9474
455498101,BEAUTY & HEALTH,PERSONAL CARE,MLC-TEETH_WHITENING_STRIPS,0.9472
608521091,CE,ELECTRONICS,MLC-TELEVISIONS,0.947
925030485,HOME & INDUSTRY,HOME&DECOR,MLC-FRAME_POOLS,0.9468
586419744,HOME & INDUSTRY,HOME&DECOR,MLC-FLOOD_LIGHTS,0.9466
514985980,HOME & INDUSTRY,INDUSTRY,MLC-EXHIBITOR_REFRIGERATORS,0.9464
519394666,HOME & INDUSTRY,HOME&DECOR,MLC-DOOR_AND_WINDOW_AWNINGS_AND_EAVES,0.9462
503596919,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.946
465818503,CE,ELECTRONICS,MLC-RANGES,0.9458
541433430,ACC,AUTOPARTS,MLC-VEHICLE_MULTIMEDIA_SYSTEMS,0.9456
582645281,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.9454
612059712,CE,MOBILE,MLC-CELLPHONES,0.9452
632409206,CE,COMPUTERS,MLC-COMPUTER_MONITORS,0.945
641949763,CE,MOBILE,MLC-CELLPHONES,0.9448
566801583,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-MEDICAL_EQUIPMENT,0.9446
566805167,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BLOOD_GLUCOSE_METERS,0.9444
613010453,CE,MOBILE,MLC-CELLPHONES,0.7316
577439360,CE,ELECTRONICS,MLC-COFFEE_MAKERS,0.9442
589156993,CE,ELECTRONICS,MLC-HAIR_STRAIGHTENERS,0.944
596709538,CE,COMPUTERS,MLC-HEADPHONES,0.9438
903594322,APP & SPORTS,SPORTS,MLC-GYM_DUMBBELLS,0.9436
627401223,CE,COMPUTERS,MLC-NOTEBOOKS,0.9434
911904275,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9432
555027718,HOME & INDUSTRY,INDUSTRY,MLC-EMBROIDERY_DESIGNS,0.943
613190328,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9428
574080606,CE,ELECTRONICS,MLC-FANS,0.9426
640994436,CE,COMPUTERS,MLC-NOTEBOOKS,0.9424
900687041,CE,MOBILE,MLC-CELLPHONES,0.9422
927115584,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.942
585790783,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_MONITORING_KITS,0.9418
522395533,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILL_AND_SCREWDRIVER_BITS,0.9416
601954502,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.9414
539883452,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.9412
907809902,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.941
639039950,CE,COMPUTERS,MLC-NOTEBOOKS,0.9408
611221056,CE,MOBILE,MLC-CELLPHONES,0.9406
625820583,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9404
594018226,APP & SPORTS,APPAREL,MLC-ONE_PIECE_PAJAMAS,0.9402
519319670,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.94
523992058,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-POWER_GRINDERS,0.9398
442040991,T & B,TOYS AND GAMES,MLC-INFLATABLE_POOLS,0.9396
571306785,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-PORTABLE_ELECTRIC_MASSAGERS,0.9394
536523107,APP & SPORTS,SPORTS,MLC-GYM_DUMBBELLS,0.9392
908749866,CE,MOBILE,MLC-CELLPHONES,0.939
511730805,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_CURTAINS_AND_BLINDS,0.9388
